Dataset,Number of Hyperboxes,Gamma Values,Accuracy,F1_Score,Time
appendicitis_sim1,16,N/A,0.84375,0.821969696969697,3.87530517578125
appendicitis_sim2,16,N/A,0.875,0.8482142857142857,4.04079794883728
appendicitis_sim3,2,N/A,0.8125,0.7723214285714286,2.7771129608154297
appendicitis_sim4,2,N/A,0.8125,0.8125,2.893563985824585
appendicitis_sim5,16,N/A,0.8125,0.8125,4.497490406036377
appendicitis_sim6,4,N/A,0.84375,0.8381217838765009,3.393545150756836
appendicitis_sim7,2,N/A,0.8125,0.8221428571428571,3.3386852741241455
appendicitis_sim8,2,N/A,0.90625,0.8931818181818182,3.4862635135650635
appendicitis_sim9,2,N/A,0.90625,0.8931818181818182,3.61307954788208
appendicitis_sim10,2,N/A,0.875,0.8482142857142857,3.781691789627075
breast_cancer_wisconsin_diagnostic_sim1,8,N/A,0.9064327485380117,0.9040771494395636,5.0580151081085205
breast_cancer_wisconsin_diagnostic_sim2,8,N/A,0.9415204678362573,0.9406248353616775,5.266180992126465
breast_cancer_wisconsin_diagnostic_sim3,16,N/A,0.8947368421052632,0.8920867931195092,6.530531406402588
breast_cancer_wisconsin_diagnostic_sim4,4,N/A,0.9415204678362573,0.9403478682582161,4.981580972671509
breast_cancer_wisconsin_diagnostic_sim5,8,N/A,0.9473684210526315,0.9471006548629639,5.679817199707031
breast_cancer_wisconsin_diagnostic_sim6,2,N/A,0.9298245614035088,0.9290558736632938,4.975914478302002
breast_cancer_wisconsin_diagnostic_sim7,16,N/A,0.9298245614035088,0.9284174419098593,7.316525936126709
breast_cancer_wisconsin_diagnostic_sim8,16,N/A,0.9532163742690059,0.9524998682893421,7.253738641738892
breast_cancer_wisconsin_diagnostic_sim9,4,N/A,0.9415204678362573,0.9408798947194116,5.658459901809692
breast_cancer_wisconsin_diagnostic_sim10,8,N/A,0.9532163742690059,0.9527039157755293,6.358125925064087
bupa_sim1,4,N/A,0.49038461538461536,0.47811458204716634,5.7259345054626465
bupa_sim2,2,N/A,0.5673076923076923,0.5431220135944544,5.675228834152222
bupa_sim3,4,N/A,0.5288461538461539,0.5287153625499142,6.108704090118408
bupa_sim4,4,N/A,0.5096153846153846,0.5050929740962344,6.161480665206909
bupa_sim5,4,N/A,0.49038461538461536,0.4666598702502317,6.335962295532227
bupa_sim6,16,N/A,0.5673076923076923,0.538648354883268,7.8302741050720215
bupa_sim7,2,N/A,0.5192307692307693,0.5027346843015924,6.382657289505005
bupa_sim8,2,N/A,0.5673076923076923,0.5593829247675401,6.457731485366821
bupa_sim9,4,N/A,0.5576923076923077,0.5544013278388279,6.895857572555542
bupa_sim10,2,N/A,0.6153846153846154,0.6136720422434708,6.811769008636475
confidence_sim1,4,N/A,0.8181818181818182,0.8225108225108225,7.955219507217407
confidence_sim2,2,N/A,0.8181818181818182,0.8122655122655122,7.653285264968872
confidence_sim3,2,N/A,0.7727272727272727,0.7750360750360751,7.981683731079102
confidence_sim4,4,N/A,0.8636363636363636,0.85,8.995307207107544
confidence_sim5,8,N/A,0.6363636363636364,0.6242817788272333,10.531142473220825
confidence_sim6,2,N/A,0.7272727272727273,0.7265512265512265,9.010398387908936
confidence_sim7,2,N/A,0.7727272727272727,0.7662337662337663,9.273942708969116
confidence_sim8,2,N/A,0.8636363636363636,0.8636363636363636,9.622669219970703
confidence_sim9,2,N/A,0.8181818181818182,0.8038239538239538,9.922895193099976
confidence_sim10,4,N/A,0.9090909090909091,0.9083694083694082,10.8483304977417
glass2_sim1,16,N/A,0.7959183673469388,0.7959183673469388,11.457288265228271
glass2_sim2,16,N/A,0.8163265306122449,0.8149285930016826,11.655497074127197
glass2_sim3,16,N/A,0.7346938775510204,0.731579172549523,11.74704360961914
glass2_sim4,16,N/A,0.673469387755102,0.6695821185617105,11.93187141418457
glass2_sim5,16,N/A,0.673469387755102,0.673469387755102,12.06568717956543
glass2_sim6,2,N/A,0.6530612244897959,0.6471230340660012,10.749498844146729
glass2_sim7,16,N/A,0.7959183673469388,0.793488824101069,12.376587390899658
glass2_sim8,16,N/A,0.7346938775510204,0.732674634335764,12.6636483669281
glass2_sim9,16,N/A,0.7346938775510204,0.7342489196936637,12.706171989440918
glass2_sim10,16,N/A,0.7346938775510204,0.7346938775510204,12.914036512374878
haberman_sim1,2,N/A,0.7065217391304348,0.6423562412342215,11.498768329620361
haberman_sim2,2,N/A,0.7608695652173914,0.6763473180644342,11.629658460617065
haberman_sim3,8,N/A,0.7717391304347826,0.7218326320710612,12.50605058670044
haberman_sim4,2,N/A,0.782608695652174,0.7397025171624714,11.856860399246216
haberman_sim5,8,N/A,0.7282608695652174,0.698034325363518,12.775650024414062
haberman_sim6,8,N/A,0.7282608695652174,0.6799989529618093,12.71529483795166
haberman_sim7,4,N/A,0.75,0.6834260289210233,12.402262449264526
haberman_sim8,2,N/A,0.7608695652173914,0.690794712533843,12.354978322982788
haberman_sim9,8,N/A,0.75,0.6953405017921147,13.147720098495483
haberman_sim10,8,N/A,0.7608695652173914,0.6763473180644342,13.177724838256836
iris_sim1,8,N/A,0.9555555555555556,0.9555555555555556,13.770405769348145
iris_sim2,8,N/A,0.9777777777777777,0.9777530589543938,14.017585515975952
iris_sim3,4,N/A,0.9333333333333333,0.9332591768631814,13.5703763961792
iris_sim4,16,N/A,0.9333333333333333,0.9326599326599326,15.840512752532959
iris_sim5,16,N/A,0.9555555555555556,0.9553571428571429,16.09691572189331
iris_sim6,2,N/A,0.9333333333333333,0.9326599326599326,13.921031713485718
iris_sim7,2,N/A,0.9555555555555556,0.9561781609195403,14.096823930740356
iris_sim8,8,N/A,0.9555555555555556,0.9553571428571429,15.319868326187134
iris_sim9,16,N/A,0.9555555555555556,0.9555555555555556,16.942461490631104
iris_sim10,16,N/A,0.9555555555555556,0.9555555555555556,17.13552165031433
lupus_sim1,8,N/A,0.7777777777777778,0.7732026143790849,15.320290565490723
lupus_sim2,2,N/A,0.7777777777777778,0.7777777777777778,14.767724752426147
lupus_sim3,8,N/A,0.6296296296296297,0.6296296296296297,15.49279499053955
lupus_sim4,8,N/A,0.7407407407407407,0.7313840155945419,15.615146160125732
lupus_sim5,8,N/A,0.8518518518518519,0.8436213991769548,15.79744553565979
lupus_sim6,8,N/A,0.7777777777777778,0.7796296296296297,15.883763313293457
lupus_sim7,8,N/A,0.8148148148148148,0.8132114798781466,15.961644649505615
lupus_sim8,8,N/A,0.7777777777777778,0.7796296296296297,16.043330907821655
lupus_sim9,8,N/A,0.6666666666666666,0.6637806637806638,16.1209499835968
lupus_sim10,8,N/A,0.8148148148148148,0.8132114798781466,16.217686414718628
new_thyroid_sim1,8,N/A,0.9384615384615385,0.9363093289689034,17.012431859970093
new_thyroid_sim2,16,N/A,0.9538461538461539,0.9525996204933586,18.685699462890625
new_thyroid_sim3,8,N/A,0.9230769230769231,0.9178111190495091,17.68129324913025
new_thyroid_sim4,16,N/A,0.9384615384615385,0.9309796586392332,19.320298194885254
new_thyroid_sim5,2,N/A,0.8769230769230769,0.8663178091749522,17.171714305877686
new_thyroid_sim6,16,N/A,0.8923076923076924,0.8847405057714337,19.81270670890808
new_thyroid_sim7,16,N/A,0.9692307692307692,0.9676421404682274,20.22159457206726
new_thyroid_sim8,2,N/A,0.9538461538461539,0.9523011934302257,17.801774740219116
new_thyroid_sim9,8,N/A,0.9230769230769231,0.9231756907060551,21.194875240325928
new_thyroid_sim10,16,N/A,0.9846153846153847,0.9843336151028459,21.15367579460144
sonar_sim1,2,N/A,0.6825396825396826,0.6825396825396826,18.230924129486084
sonar_sim2,16,N/A,0.6031746031746031,0.6031746031746031,20.325308084487915
sonar_sim3,16,N/A,0.6507936507936508,0.6495464852607709,20.548632860183716
sonar_sim4,16,N/A,0.6825396825396826,0.6796002351557906,20.776653051376343
sonar_sim5,4,N/A,0.7142857142857143,0.7132653061224491,19.112077474594116
sonar_sim6,16,N/A,0.6825396825396826,0.6738512949039264,21.160966634750366
sonar_sim7,4,N/A,0.6984126984126984,0.6987178714980384,19.453405380249023
sonar_sim8,2,N/A,0.7142857142857143,0.7142857142857143,19.306018352508545
sonar_sim9,16,N/A,0.6349206349206349,0.6326768692965876,21.60229778289795
sonar_sim10,16,N/A,0.7777777777777778,0.7716959064327485,21.684598445892334
spectf_sim1,8,N/A,0.780952380952381,0.752583868807236,20.87989354133606
spectf_sim2,16,N/A,0.7714285714285715,0.7447034892818026,22.3043053150177
spectf_sim3,16,N/A,0.780952380952381,0.766958211856171,22.472704887390137
spectf_sim4,8,N/A,0.8285714285714286,0.808527616961352,21.24776554107666
spectf_sim5,2,N/A,0.8285714285714286,0.8040816326530612,20.39568591117859
spectf_sim6,16,N/A,0.8,0.7623931623931623,23.064263820648193
spectf_sim7,16,N/A,0.7333333333333333,0.6786617707058343,23.22877597808838
