Dataset,Number of Hyperboxes,Gamma Values,Accuracy,F1_Score,Time
appendicitis_sim1,4,N/A,0.71875,0.7486842105263158,6.812212705612183
appendicitis_sim2,8,N/A,0.8125,0.8221428571428571,8.051768779754639
appendicitis_sim3,4,N/A,0.75,0.75,6.981539011001587
appendicitis_sim4,2,N/A,0.84375,0.8482277526395174,4.28872013092041
appendicitis_sim5,8,N/A,0.875,0.8854166666666666,8.253845453262329
appendicitis_sim6,4,N/A,0.8125,0.8221428571428571,7.15607476234436
appendicitis_sim7,2,N/A,0.90625,0.9127551020408163,4.4798338413238525
appendicitis_sim8,2,N/A,0.65625,0.6939368770764119,4.516319751739502
appendicitis_sim9,8,N/A,0.8125,0.8221428571428571,8.160481691360474
appendicitis_sim10,2,N/A,0.90625,0.8931818181818182,4.785881757736206
breast_cancer_wisconsin_diagnostic_sim1,16,N/A,0.9239766081871345,0.922261208576998,10.02444076538086
breast_cancer_wisconsin_diagnostic_sim2,16,N/A,0.9181286549707602,0.9175592626629215,9.876878499984741
breast_cancer_wisconsin_diagnostic_sim3,16,N/A,0.8771929824561403,0.8730641381054367,10.187108039855957
breast_cancer_wisconsin_diagnostic_sim4,16,N/A,0.935672514619883,0.9345380509217297,10.217487812042236
breast_cancer_wisconsin_diagnostic_sim5,4,N/A,0.8888888888888888,0.8883236047107015,8.088420629501343
breast_cancer_wisconsin_diagnostic_sim6,16,N/A,0.935672514619883,0.9342210226420754,10.538982391357422
breast_cancer_wisconsin_diagnostic_sim7,8,N/A,0.9181286549707602,0.9156150610444239,11.42854928970337
breast_cancer_wisconsin_diagnostic_sim8,8,N/A,0.9181286549707602,0.9168747695063484,11.123908281326294
breast_cancer_wisconsin_diagnostic_sim9,16,N/A,0.9239766081871345,0.9226358783620443,10.853754997253418
breast_cancer_wisconsin_diagnostic_sim10,16,N/A,0.9883040935672515,0.9882654166279896,11.10661506652832
bupa_sim1,4,N/A,0.5961538461538461,0.5958547008547008,9.276172876358032
bupa_sim2,8,N/A,0.5865384615384616,0.5851944331325775,10.763700008392334
bupa_sim3,8,N/A,0.5192307692307693,0.5138470152467912,10.971754789352417
bupa_sim4,4,N/A,0.5865384615384616,0.5707592980907185,9.71014952659607
bupa_sim5,4,N/A,0.5769230769230769,0.5721853734171763,9.989045858383179
bupa_sim6,8,N/A,0.5673076923076923,0.5647759178687013,11.58370041847229
bupa_sim7,2,N/A,0.5384615384615384,0.536406450692165,7.588594198226929
bupa_sim8,4,N/A,0.6153846153846154,0.6125228937728937,10.277094841003418
bupa_sim9,4,N/A,0.5576923076923077,0.5576923076923077,10.493031740188599
bupa_sim10,4,N/A,0.5576923076923077,0.5425159095574651,10.585586309432983
confidence_sim1,2,N/A,0.8636363636363636,0.8558441558441559,5.488740682601929
confidence_sim2,2,N/A,0.8181818181818182,0.7888888888888889,5.530894041061401
confidence_sim3,4,N/A,0.8181818181818182,0.8088023088023086,5.402188062667847
confidence_sim4,4,N/A,0.9090909090909091,0.9070707070707069,5.6351141929626465
confidence_sim5,2,N/A,0.6818181818181818,0.6796536796536796,5.922879695892334
confidence_sim6,4,N/A,0.7272727272727273,0.7295815295815296,5.943151235580444
confidence_sim7,2,N/A,0.8181818181818182,0.8084415584415584,6.169128894805908
confidence_sim8,4,N/A,0.8636363636363636,0.8542568542568542,6.170000791549683
