Dataset,Number of Hyperboxes,Gamma Values,Accuracy,F1_Score,Time
appendicitis_sim1,2,0.0,0.90625,0.9028730703259005,0.013545513153076172
appendicitis_sim2,2,0.0,0.875,0.8482142857142857,0.008688211441040039
appendicitis_sim3,2,0.0,0.90625,0.8931818181818182,0.007320880889892578
appendicitis_sim4,16,1.0,0.8125,0.8125,0.025908470153808594
appendicitis_sim5,16,1.0,0.90625,0.8931818181818182,0.023264646530151367
appendicitis_sim6,16,0.0001,0.90625,0.9028730703259005,0.019809484481811523
appendicitis_sim7,2,0.0,0.875,0.8854166666666666,0.016864776611328125
appendicitis_sim8,2,1.0,0.90625,0.8931818181818182,0.012524127960205078
appendicitis_sim9,4,1.0,0.90625,0.8931818181818182,0.028277873992919922
appendicitis_sim10,16,1.0,0.875,0.8482142857142857,0.029858827590942383
breast_cancer_wisconsin_diagnostic_sim1,4,0.0,0.9473684210526315,0.9477281721049033,0.11526775360107422
breast_cancer_wisconsin_diagnostic_sim2,2,0.0,0.9298245614035088,0.9303835075633976,0.09888005256652832
breast_cancer_wisconsin_diagnostic_sim3,4,0.0001,0.8771929824561403,0.8777261340101818,0.13402628898620605
breast_cancer_wisconsin_diagnostic_sim4,2,0.0001,0.9239766081871345,0.9238541020805692,0.16278719902038574
breast_cancer_wisconsin_diagnostic_sim5,8,0.0,0.935672514619883,0.9361122103504375,0.09607839584350586
breast_cancer_wisconsin_diagnostic_sim6,8,0.0,0.9532163742690059,0.9532163742690059,0.10817098617553711
breast_cancer_wisconsin_diagnostic_sim7,4,0.0,0.9707602339181286,0.9707131161848344,0.11629271507263184
breast_cancer_wisconsin_diagnostic_sim8,4,0.0,0.9473684210526315,0.9477281721049033,0.13997483253479004
breast_cancer_wisconsin_diagnostic_sim9,4,1.0,0.9532163742690059,0.9527039157755293,0.5236153602600098
breast_cancer_wisconsin_diagnostic_sim10,8,0.0,0.9415204678362573,0.9418495734285208,0.14533591270446777
bupa_sim1,4,1.0,0.5961538461538461,0.5958550328694613,0.05748438835144043
bupa_sim2,4,1.0,0.625,0.6040390784485272,0.051756858825683594
bupa_sim3,8,1.0,0.5192307692307693,0.517084478021978,0.04241514205932617
bupa_sim4,8,0.0001,0.5865384615384616,0.5841119988534986,0.05201363563537598
bupa_sim5,8,0.0,0.5673076923076923,0.5507946142809844,0.03971076011657715
bupa_sim6,4,1.0,0.5865384615384616,0.5738522188365448,0.04635000228881836
bupa_sim7,8,0.0,0.5769230769230769,0.5702629454503517,0.04691648483276367
bupa_sim8,8,0.0,0.6153846153846154,0.6093299504094106,0.046506643295288086
bupa_sim9,16,0.0001,0.6057692307692307,0.6052220426931262,0.08173394203186035
bupa_sim10,8,1.0,0.6346153846153846,0.6329884401312973,0.04989457130432129
confidence_sim1,4,1.0,0.8181818181818182,0.8083694083694084,0.02320098876953125
confidence_sim2,2,1.0,0.7727272727272727,0.7525252525252526,0.0182797908782959
confidence_sim3,4,0.0,0.8636363636363636,0.8608946608946609,0.020423173904418945
confidence_sim4,4,0.0,0.7727272727272727,0.7297979797979799,0.021576881408691406
confidence_sim5,4,0.0001,0.7272727272727273,0.7070707070707071,0.019296646118164062
confidence_sim6,4,0.0001,0.7727272727272727,0.7763347763347763,0.020575761795043945
confidence_sim7,2,0.0001,0.8181818181818182,0.800865800865801,0.01831221580505371
confidence_sim8,2,0.0,0.9090909090909091,0.9090909090909091,0.01749396324157715
confidence_sim9,2,0.0001,0.8181818181818182,0.8038239538239538,0.016919612884521484
confidence_sim10,4,0.0,0.7727272727272727,0.7597402597402598,0.024895906448364258
glass2_sim1,16,1.0,0.6530612244897959,0.6425068071557176,0.056860923767089844
glass2_sim2,16,0.0,0.7755102040816326,0.7647681137142495,0.017504215240478516
glass2_sim3,8,0.0,0.5714285714285714,0.5681667170039263,0.01125025749206543
glass2_sim4,16,0.0001,0.7959183673469388,0.7960884353741496,0.023281574249267578
glass2_sim5,16,1.0,0.5918367346938775,0.5823363828289937,0.03765296936035156
glass2_sim6,2,0.0,0.6326530612244898,0.6184747583243824,0.01281428337097168
glass2_sim7,16,0.0001,0.673469387755102,0.6720951006665292,0.025734663009643555
glass2_sim8,4,0.0,0.5918367346938775,0.5918367346938775,0.012002706527709961
glass2_sim9,16,0.0001,0.6938775510204082,0.6933641381080734,0.0276644229888916
glass2_sim10,8,1.0,0.7142857142857143,0.7142857142857143,0.04018735885620117
haberman_sim1,8,0.0,0.717391304347826,0.6723955669224211,0.02539229393005371
haberman_sim2,8,0.0,0.7282608695652174,0.6688483715131682,0.026576995849609375
haberman_sim3,8,0.0,0.6956521739130435,0.6994678780012977,0.026216983795166016
haberman_sim4,8,0.0,0.75,0.7144774688398848,0.02330327033996582
haberman_sim5,2,0.0001,0.6739130434782609,0.6575102790656985,0.014319181442260742
haberman_sim6,8,0.0,0.6847826086956522,0.6399933302763766,0.020381450653076172
haberman_sim7,8,0.0,0.7391304347826086,0.6626851409460105,0.02036595344543457
haberman_sim8,8,0.0,0.6739130434782609,0.6327849588719153,0.02538013458251953
haberman_sim9,8,0.0001,0.7391304347826086,0.6975959079283887,0.027395009994506836
haberman_sim10,8,0.0,0.7391304347826086,0.6975959079283887,0.029023170471191406
iris_sim1,2,1.0,0.9777777777777777,0.9777530589543938,0.013338804244995117
iris_sim2,16,1.0,0.9333333333333333,0.9331896551724138,0.05909156799316406
iris_sim3,2,1.0,0.9555555555555556,0.9555555555555556,0.011880636215209961
iris_sim4,4,0.0001,0.9111111111111111,0.9111111111111111,0.01126241683959961
iris_sim5,8,0.0001,0.9555555555555556,0.9553571428571429,0.014193534851074219
iris_sim6,2,1.0,0.9333333333333333,0.9326599326599326,0.012124300003051758
iris_sim7,2,0.0001,0.9555555555555556,0.9555308367321717,0.011691808700561523
iris_sim8,8,0.0001,0.9111111111111111,0.9105436081242532,0.016976356506347656
iris_sim9,16,0.0001,0.9111111111111111,0.9107142857142857,0.02132558822631836
iris_sim10,16,1.0,0.9111111111111111,0.9107142857142857,0.044527292251586914
lupus_sim1,2,0.0,0.7407407407407407,0.7428863346104725,0.010199308395385742
lupus_sim2,2,1.0,0.8148148148148148,0.8000942118589178,0.011760711669921875
lupus_sim3,8,0.0,0.5925925925925926,0.5948781881460703,0.010804891586303711
lupus_sim4,8,1.0,0.7777777777777778,0.7732026143790849,0.011467933654785156
lupus_sim5,2,0.0,0.7037037037037037,0.6715399610136452,0.011284828186035156
lupus_sim6,8,1.0,0.6666666666666666,0.6188034188034188,0.01340341567993164
lupus_sim7,8,0.0001,0.6296296296296297,0.632716049382716,0.011399269104003906
lupus_sim8,2,1.0,0.7407407407407407,0.7421952106384084,0.010427713394165039
