Dataset,Number of Hyperboxes,Gamma Values,Accuracy,F1_Score,Time
appendicitis_sim1,2,0.0,0.90625,0.9028730703259005,0.01318359375
appendicitis_sim2,2,0.0,0.875,0.8482142857142857,0.008494377136230469
appendicitis_sim3,2,0.0,0.90625,0.8931818181818182,0.0070247650146484375
appendicitis_sim4,2,0.0,0.78125,0.7875188536953244,0.013713359832763672
appendicitis_sim5,16,0.0,0.6875,0.6875,0.021326780319213867
appendicitis_sim6,16,0.0,0.84375,0.8482277526395174,0.021129608154296875
appendicitis_sim7,2,0.0,0.875,0.8854166666666666,0.016619443893432617
appendicitis_sim8,16,0.0,0.84375,0.821969696969697,0.01905226707458496
appendicitis_sim9,2,0.0,0.84375,0.8381217838765009,0.010325193405151367
appendicitis_sim10,16,0.0,0.875,0.8482142857142857,0.018635272979736328
breast_cancer_wisconsin_diagnostic_sim1,4,0.0,0.9473684210526315,0.9477281721049033,0.10701346397399902
breast_cancer_wisconsin_diagnostic_sim2,2,0.0,0.9298245614035088,0.9303835075633976,0.09245777130126953
breast_cancer_wisconsin_diagnostic_sim3,4,0.0,0.9005847953216374,0.9007367565472622,0.11285138130187988
breast_cancer_wisconsin_diagnostic_sim4,8,0.0,0.935672514619883,0.9355688556066355,0.1496737003326416
breast_cancer_wisconsin_diagnostic_sim5,8,0.0,0.935672514619883,0.9361122103504375,0.09342360496520996
breast_cancer_wisconsin_diagnostic_sim6,8,0.0,0.9532163742690059,0.9532163742690059,0.10333251953125
breast_cancer_wisconsin_diagnostic_sim7,4,0.0,0.9707602339181286,0.9707131161848344,0.11001944541931152
breast_cancer_wisconsin_diagnostic_sim8,4,0.0,0.9473684210526315,0.9477281721049033,0.12408256530761719
breast_cancer_wisconsin_diagnostic_sim9,4,0.0,0.9532163742690059,0.9533555708332272,0.10087347030639648
breast_cancer_wisconsin_diagnostic_sim10,8,0.0,0.9415204678362573,0.9418495734285208,0.12719321250915527
bupa_sim1,4,0.0,0.5,0.4944008958566629,0.03437066078186035
bupa_sim2,8,0.0,0.5769230769230769,0.5553024211560798,0.04214000701904297
bupa_sim3,16,0.0,0.5576923076923077,0.5576923076923077,0.05948925018310547
bupa_sim4,16,0.0,0.5096153846153846,0.5080248497679691,0.055115699768066406
bupa_sim5,8,0.0,0.5673076923076923,0.5507946142809844,0.038663387298583984
bupa_sim6,2,0.0,0.4807692307692308,0.4784572570286855,0.0694277286529541
bupa_sim7,8,0.0,0.5769230769230769,0.5702629454503517,0.04575514793395996
bupa_sim8,8,0.0,0.6153846153846154,0.6093299504094106,0.0455012321472168
bupa_sim9,8,0.0,0.6538461538461539,0.6530769230769231,0.049985647201538086
bupa_sim10,16,0.0,0.5576923076923077,0.5507294429708223,0.05674576759338379
confidence_sim1,4,0.0,0.8181818181818182,0.8257575757575757,0.021184682846069336
confidence_sim2,4,0.0,0.7727272727272727,0.7262626262626263,0.0215451717376709
confidence_sim3,4,0.0,0.8636363636363636,0.8608946608946609,0.02034139633178711
confidence_sim4,4,0.0,0.7727272727272727,0.7297979797979799,0.021976709365844727
confidence_sim5,4,0.0,0.6363636363636364,0.578030303030303,0.018471479415893555
confidence_sim6,4,0.0,0.8181818181818182,0.8129870129870128,0.020038604736328125
confidence_sim7,8,0.0,0.7272727272727273,0.72005772005772,0.022217988967895508
confidence_sim8,2,0.0,0.9090909090909091,0.9090909090909091,0.01697087287902832
confidence_sim9,4,0.0,0.9545454545454546,0.9538239538239538,0.021358728408813477
confidence_sim10,4,0.0,0.7727272727272727,0.7597402597402598,0.024055957794189453
glass2_sim1,16,0.0,0.7142857142857143,0.7130832130832131,0.02081441879272461
glass2_sim2,16,0.0,0.7755102040816326,0.7647681137142495,0.017467260360717773
glass2_sim3,8,0.0,0.5714285714285714,0.5681667170039263,0.011332511901855469
glass2_sim4,16,0.0,0.8163265306122449,0.8164797834027228,0.014263153076171875
glass2_sim5,2,0.0,0.6122448979591837,0.6125684316279703,0.012363672256469727
glass2_sim6,2,0.0,0.6326530612244898,0.6184747583243824,0.012521982192993164
glass2_sim7,16,0.0,0.6938775510204082,0.6933641381080734,0.023906469345092773
glass2_sim8,4,0.0,0.5918367346938775,0.5918367346938775,0.011840343475341797
glass2_sim9,8,0.0,0.7346938775510204,0.731579172549523,0.011172294616699219
glass2_sim10,16,0.0,0.7346938775510204,0.7349152426928219,0.017413616180419922
haberman_sim1,8,0.0,0.717391304347826,0.6723955669224211,0.025558948516845703
haberman_sim2,8,0.0,0.7282608695652174,0.6688483715131682,0.0265657901763916
haberman_sim3,8,0.0,0.6956521739130435,0.6994678780012977,0.02644824981689453
haberman_sim4,8,0.0,0.75,0.7144774688398848,0.02301502227783203
haberman_sim5,4,0.0,0.7065217391304348,0.688651751218029,0.016757488250732422
haberman_sim6,8,0.0,0.6847826086956522,0.6399933302763766,0.020328521728515625
haberman_sim7,8,0.0,0.7391304347826086,0.6626851409460105,0.02038264274597168
haberman_sim8,8,0.0,0.6739130434782609,0.6327849588719153,0.02533721923828125
haberman_sim9,4,0.0,0.7391304347826086,0.7062279670975322,0.017085552215576172
haberman_sim10,8,0.0,0.7391304347826086,0.6975959079283887,0.028510093688964844
iris_sim1,2,0.0,0.9777777777777777,0.9777530589543938,0.012647151947021484
iris_sim2,4,0.0,0.9555555555555556,0.9555308367321717,0.012497663497924805
iris_sim3,8,0.0,0.9111111111111111,0.9111111111111111,0.012944698333740234
iris_sim4,16,0.0,0.8444444444444444,0.8394167923579688,0.017111539840698242
iris_sim5,4,0.0,0.9333333333333333,0.9331797235023042,0.01082468032836914
iris_sim6,4,0.0,0.8888888888888888,0.8884161815196298,0.010759830474853516
iris_sim7,2,0.0,0.9555555555555556,0.9555308367321717,0.009929418563842773
iris_sim8,2,0.0,0.8666666666666667,0.8651093807934742,0.013069391250610352
iris_sim9,8,0.0,0.8888888888888888,0.8877665544332211,0.012989282608032227
iris_sim10,2,0.0,0.8888888888888888,0.8851802070888092,0.009646892547607422
lupus_sim1,2,0.0,0.7407407407407407,0.7428863346104725,0.010092973709106445
lupus_sim2,2,0.0,0.8148148148148148,0.8000942118589178,0.01421976089477539
lupus_sim3,8,0.0,0.5925925925925926,0.5948781881460703,0.010589838027954102
lupus_sim4,2,0.0,0.7037037037037037,0.6715399610136452,0.012929677963256836
lupus_sim5,2,0.0,0.7037037037037037,0.6715399610136452,0.011394977569580078
lupus_sim6,4,0.0,0.6666666666666666,0.6694252873563218,0.009310722351074219
lupus_sim7,4,0.0,0.6666666666666666,0.6685366993922394,0.012262344360351562
lupus_sim8,8,0.0,0.6666666666666666,0.6694252873563218,0.01556086540222168
lupus_sim9,8,0.0,0.7037037037037037,0.6715399610136452,0.01067972183227539
lupus_sim10,8,0.0,0.7407407407407407,0.7313840155945419,0.014068126678466797
new_thyroid_sim1,4,0.0,0.9538461538461539,0.9558196286472149,0.017394065856933594
new_thyroid_sim2,2,0.0,0.9384615384615385,0.9393112608215582,0.01144266128540039
new_thyroid_sim3,2,0.0,0.9384615384615385,0.9403263403263403,0.013596057891845703
new_thyroid_sim4,4,0.0,0.8615384615384616,0.8535384615384615,0.0172121524810791
new_thyroid_sim5,4,0.0,0.8769230769230769,0.872,0.014975547790527344
new_thyroid_sim6,2,0.0,0.8615384615384616,0.8559514170040485,0.014900445938110352
new_thyroid_sim7,2,0.0,0.9076923076923077,0.9099045915324986,0.016642332077026367
new_thyroid_sim8,4,0.0,0.9384615384615385,0.9378205128205127,0.01694464683532715
new_thyroid_sim9,4,0.0,0.9076923076923077,0.9088612760237474,0.01481938362121582
new_thyroid_sim10,8,0.0,0.9538461538461539,0.9549233075769807,0.0258636474609375
sonar_sim1,8,0.0,0.6984126984126984,0.6988690726395645,0.04684925079345703
sonar_sim2,2,0.0,0.5873015873015873,0.583480305702528,0.03060436248779297
sonar_sim3,4,0.0,0.6190476190476191,0.6125136125136125,0.041277408599853516
sonar_sim4,4,0.0,0.6507936507936508,0.6314354727398206,0.048722267150878906
sonar_sim5,4,0.0,0.6507936507936508,0.6513227513227513,0.05726361274719238
sonar_sim6,4,0.0,0.6666666666666666,0.6452674897119342,0.04204678535461426
sonar_sim7,2,0.0,0.6666666666666666,0.667003963234674,0.038675785064697266
sonar_sim8,8,0.0,0.7142857142857143,0.7142857142857143,0.04701352119445801
sonar_sim9,2,0.0,0.6031746031746031,0.5980463349292504,0.03057551383972168
sonar_sim10,2,0.0,0.6349206349206349,0.6176154993822649,0.04483652114868164
spectf_sim1,4,0.0,0.8666666666666667,0.8510770354143847,0.0936894416809082
spectf_sim2,2,0.0,0.7714285714285715,0.7499772761702773,0.08130168914794922
spectf_sim3,4,0.0,0.8,0.778989898989899,0.14042305946350098
spectf_sim4,2,0.0,0.8761904761904762,0.8682807284404445,0.08775162696838379
spectf_sim5,8,0.0,0.8857142857142857,0.8794285714285714,0.08402824401855469
spectf_sim6,8,0.0,0.8,0.7553819715669428,0.08605194091796875
spectf_sim7,4,0.0,0.8285714285714286,0.808527616961352,0.10156512260437012
spectf_sim8,8,0.0,0.8285714285714286,0.8040816326530612,0.1005697250366211
spectf_sim9,16,0.0,0.8571428571428571,0.8421356421356421,0.10066986083984375
spectf_sim10,2,0.0,0.8476190476190476,0.8298023261878684,0.0759897232055664
vehicle_sim1,4,0.0,0.6535433070866141,0.6531647359073901,0.19582366943359375
vehicle_sim2,2,0.0,0.6181102362204725,0.623570452247806,0.23095035552978516
vehicle_sim3,16,0.0,0.6023622047244095,0.6078122771584513,0.3041553497314453
vehicle_sim4,8,0.0,0.6338582677165354,0.635782420967835,0.3150646686553955
vehicle_sim5,4,0.0,0.6811023622047244,0.6783756295771627,0.25606560707092285
vehicle_sim6,2,0.0,0.65748031496063,0.6627020914394788,0.28504276275634766
vehicle_sim7,8,0.0,0.6299212598425197,0.6336240247221813,0.2433929443359375
vehicle_sim8,4,0.0,0.6968503937007874,0.6976171645868471,0.21936655044555664
vehicle_sim9,4,0.0,0.5826771653543307,0.5939984462561599,0.28806447982788086
vehicle_sim10,16,0.0,0.6496062992125984,0.6533843595637502,0.33047914505004883
wine_recognition_sim1,4,0.0,0.9444444444444444,0.9442967884828349,0.017851829528808594
wine_recognition_sim2,2,0.0,0.9074074074074074,0.9065769152315178,0.013410091400146484
wine_recognition_sim3,2,0.0,1.0,1.0,0.01567530632019043
wine_recognition_sim4,4,0.0,0.9814814814814815,0.981554331672349,0.017590045928955078
wine_recognition_sim5,2,0.0,0.9259259259259259,0.9252314814814816,0.015560388565063477
wine_recognition_sim6,4,0.0,0.9444444444444444,0.9445125272331154,0.01521611213684082
wine_recognition_sim7,2,0.0,0.9814814814814815,0.9815058961400425,0.020163297653198242
wine_recognition_sim8,2,0.0,0.9629629629629629,0.9625859730698442,0.026912927627563477
wine_recognition_sim9,2,0.0,0.9444444444444444,0.9448258890119355,0.015531063079833984
wine_recognition_sim10,4,0.0,0.9259259259259259,0.9252314814814816,0.017580509185791016
