Dataset,Number of Hyperboxes,Gamma Values,Accuracy,F1_Score,Time
appendicitis_sim1,4,0.0,0.90625,0.9028730703259005,0.01787567138671875
appendicitis_sim2,8,0.0,0.8125,0.7723214285714286,0.01661205291748047
appendicitis_sim3,8,0.0,0.78125,0.7507575757575757,0.01684284210205078
appendicitis_sim4,4,1.0,0.8125,0.7723214285714286,0.022136211395263672
appendicitis_sim5,8,1.0,0.84375,0.8584167709637046,0.015421152114868164
appendicitis_sim6,8,1.0,0.875,0.875,0.021458864212036133
appendicitis_sim7,4,0.0,0.875,0.8814285714285715,0.0184328556060791
appendicitis_sim8,2,0.0,0.90625,0.8931818181818182,0.018065929412841797
appendicitis_sim9,8,0.0001,0.84375,0.7947994987468672,0.022896528244018555
appendicitis_sim10,8,0.0,0.84375,0.7947994987468672,0.012308120727539062
breast_cancer_wisconsin_diagnostic_sim1,8,0.0,0.9532163742690059,0.9533555708332272,0.15758275985717773
breast_cancer_wisconsin_diagnostic_sim2,16,0.0001,0.9532163742690059,0.9533555708332272,0.39351677894592285
breast_cancer_wisconsin_diagnostic_sim3,4,0.0,0.9181286549707602,0.9175592626629215,0.16399788856506348
breast_cancer_wisconsin_diagnostic_sim4,16,0.0001,0.9415204678362573,0.9413270831399486,0.3254587650299072
breast_cancer_wisconsin_diagnostic_sim5,8,0.0,0.9532163742690059,0.9534796587428167,0.1529378890991211
breast_cancer_wisconsin_diagnostic_sim6,2,0.0,0.9122807017543859,0.9132364470014273,0.14362096786499023
breast_cancer_wisconsin_diagnostic_sim7,4,0.0,0.935672514619883,0.9350993774297272,0.2262282371520996
breast_cancer_wisconsin_diagnostic_sim8,8,0.0,0.9532163742690059,0.9533555708332272,0.14598655700683594
breast_cancer_wisconsin_diagnostic_sim9,16,0.0001,0.9181286549707602,0.9178579163959281,0.292433500289917
breast_cancer_wisconsin_diagnostic_sim10,4,0.0,0.9415204678362573,0.9416944635415341,0.18930768966674805
bupa_sim1,2,0.0,0.6153846153846154,0.6151000313042487,0.049039602279663086
bupa_sim2,2,0.0,0.625,0.6228057954862078,0.0980370044708252
bupa_sim3,4,1.0,0.625,0.6244795040251689,0.08720207214355469
bupa_sim4,8,1.0,0.5384615384615384,0.536406450692165,0.06714034080505371
bupa_sim5,4,0.0,0.6057692307692307,0.6052220426931262,0.06518340110778809
bupa_sim6,8,1.0,0.5192307692307693,0.518875039130311,0.06626152992248535
bupa_sim7,4,0.0001,0.6346153846153846,0.6343447293447293,0.05457282066345215
bupa_sim8,2,1.0,0.625,0.623783708646094,0.050142765045166016
bupa_sim9,8,1.0,0.6730769230769231,0.6730769230769231,0.12280440330505371
bupa_sim10,2,0.0,0.5288461538461539,0.5108652466615164,0.06943655014038086
confidence_sim1,4,0.0001,0.9090909090909091,0.8954545454545454,0.02151966094970703
confidence_sim2,4,1.0,0.8181818181818182,0.7888888888888889,0.02038264274597168
confidence_sim3,4,0.0001,0.8181818181818182,0.8154401154401154,0.021540164947509766
confidence_sim4,4,1.0,0.8181818181818182,0.8181818181818182,0.02025771141052246
confidence_sim5,2,1.0,0.7272727272727273,0.7178932178932178,0.01797032356262207
confidence_sim6,4,0.0001,0.7272727272727273,0.7265512265512265,0.02336287498474121
confidence_sim7,2,1.0,0.8181818181818182,0.800865800865801,0.018349885940551758
confidence_sim8,2,1.0,0.8181818181818182,0.8116883116883116,0.019884586334228516
confidence_sim9,4,0.0001,0.8181818181818182,0.8136724386724385,0.02204155921936035
confidence_sim10,4,1.0,0.9090909090909091,0.9083694083694082,0.021954774856567383
glass2_sim1,16,1.0,0.6938775510204082,0.6933641381080734,0.031836748123168945
glass2_sim2,16,0.0001,0.7142857142857143,0.7076354679802955,0.043561458587646484
glass2_sim3,16,1.0,0.6530612244897959,0.6516138370241714,0.04200243949890137
glass2_sim4,8,1.0,0.6938775510204082,0.6868878629675972,0.03922414779663086
glass2_sim5,2,0.0,0.673469387755102,0.6720951006665292,0.02614617347717285
glass2_sim6,8,0.0,0.7755102040816326,0.7745736592509345,0.03417634963989258
glass2_sim7,8,1.0,0.5102040816326531,0.4645600175554093,0.08173704147338867
glass2_sim8,16,1.0,0.6122448979591837,0.6092936963368857,0.03736615180969238
glass2_sim9,2,0.0,0.6938775510204082,0.6933641381080734,0.027879714965820312
glass2_sim10,16,1.0,0.7551020408163265,0.7494018296973961,0.05128812789916992
haberman_sim1,16,0.0,0.6630434782608695,0.6425260847318112,0.04776906967163086
haberman_sim2,2,1.0,0.7934782608695652,0.7567992042509751,0.0347142219543457
haberman_sim3,4,0.0001,0.6739130434782609,0.669187145557656,0.03710627555847168
haberman_sim4,8,0.0,0.6630434782608695,0.6652338229977982,0.03661346435546875
haberman_sim5,2,0.0,0.7282608695652174,0.6896494226520489,0.036859989166259766
haberman_sim6,16,1.0,0.6413043478260869,0.6268098014327819,0.04285407066345215
haberman_sim7,4,0.0001,0.7391304347826086,0.7137393812106204,0.03172111511230469
haberman_sim8,2,1.0,0.7065217391304348,0.688651751218029,0.03484821319580078
haberman_sim9,2,1.0,0.7391304347826086,0.6876430205949656,0.030065059661865234
haberman_sim10,2,0.0001,0.7391304347826086,0.6975959079283887,0.04520368576049805
iris_sim1,16,1.0,0.9555555555555556,0.9553571428571429,0.021526575088500977
iris_sim2,8,1.0,0.9555555555555556,0.9555308367321717,0.01886296272277832
iris_sim3,16,0.0001,0.9111111111111111,0.9107142857142857,0.023177385330200195
iris_sim4,16,1.0,0.9555555555555556,0.9553571428571429,0.025058269500732422
iris_sim5,8,0.0,0.8888888888888888,0.8887652947719689,0.019492387771606445
iris_sim6,8,0.0001,0.9333333333333333,0.9326599326599326,0.01872849464416504
iris_sim7,4,1.0,0.9555555555555556,0.9555308367321717,0.021063566207885742
iris_sim8,4,1.0,0.9555555555555556,0.9553571428571429,0.019101858139038086
iris_sim9,2,0.0001,0.9111111111111111,0.9111111111111111,0.017925739288330078
iris_sim10,16,0.0001,0.9111111111111111,0.9107142857142857,0.022773265838623047
lupus_sim1,2,1.0,0.7777777777777778,0.7777777777777778,0.014630556106567383
lupus_sim2,16,0.0001,0.8148148148148148,0.8081314397103869,0.01858210563659668
lupus_sim3,2,0.0,0.5555555555555556,0.5592592592592592,0.011116981506347656
lupus_sim4,2,1.0,0.8148148148148148,0.8081314397103869,0.011695623397827148
lupus_sim5,2,0.0001,0.6296296296296297,0.6265771265771266,0.02599310874938965
lupus_sim6,4,1.0,0.8148148148148148,0.8158537218845775,0.014090538024902344
lupus_sim7,2,0.0001,0.6666666666666666,0.6188034188034188,0.014150142669677734
lupus_sim8,2,0.0001,0.7037037037037037,0.7061728395061728,0.02170395851135254
lupus_sim9,2,0.0001,0.6666666666666666,0.640169581346052,0.015533924102783203
lupus_sim10,8,1.0,0.7407407407407407,0.7313840155945419,0.014051675796508789
new_thyroid_sim1,4,0.0001,0.9538461538461539,0.954416425169895,0.03873085975646973
new_thyroid_sim2,4,0.0001,0.9846153846153847,0.9849338124914707,0.029626131057739258
new_thyroid_sim3,2,1.0,0.9692307692307692,0.9687464283372211,0.03259587287902832
new_thyroid_sim4,8,0.0001,0.9230769230769231,0.9166253101736973,0.02518439292907715
new_thyroid_sim5,4,0.0001,0.9230769230769231,0.9199878716601124,0.034046173095703125
new_thyroid_sim6,2,0.0001,0.8769230769230769,0.8763377926421404,0.020397186279296875
new_thyroid_sim7,2,0.0001,0.9384615384615385,0.9374385205587252,0.0432279109954834
new_thyroid_sim8,2,0.0001,0.9692307692307692,0.9676421404682274,0.03089761734008789
new_thyroid_sim9,2,0.0,0.8923076923076924,0.8910370601058861,0.021787166595458984
new_thyroid_sim10,4,0.0001,0.9692307692307692,0.969269327164064,0.026120662689208984
sonar_sim1,16,1.0,0.7777777777777778,0.778114478114478,0.24312877655029297
sonar_sim2,16,1.0,0.6984126984126984,0.6979526109960893,0.2523329257965088
sonar_sim3,16,0.0001,0.746031746031746,0.7390810359231412,0.2828812599182129
sonar_sim4,16,1.0,0.8095238095238095,0.808843537414966,0.18348383903503418
