Dataset,Number of Hyperboxes,Gamma Values,Accuracy,F1_Score,Time
appendicitis_sim1,4,0.0,0.90625,0.9028730703259005,0.01810169219970703
appendicitis_sim2,8,0.0,0.8125,0.7723214285714286,0.01670384407043457
appendicitis_sim3,8,0.0,0.78125,0.7507575757575757,0.016918182373046875
appendicitis_sim4,8,0.0,0.78125,0.7507575757575757,0.014417171478271484
appendicitis_sim5,4,0.0,0.84375,0.8545918367346939,0.016315698623657227
appendicitis_sim6,4,0.0,0.875,0.875,0.015934228897094727
appendicitis_sim7,4,0.0,0.875,0.8814285714285715,0.01804518699645996
appendicitis_sim8,2,0.0,0.90625,0.8931818181818182,0.018090248107910156
appendicitis_sim9,2,0.0,0.9375,0.9324074074074074,0.01840043067932129
appendicitis_sim10,8,0.0,0.84375,0.7947994987468672,0.012189865112304688
breast_cancer_wisconsin_diagnostic_sim1,8,0.0,0.9532163742690059,0.9533555708332272,0.16485881805419922
breast_cancer_wisconsin_diagnostic_sim2,4,0.0,0.9415204678362573,0.9418495734285208,0.14116907119750977
breast_cancer_wisconsin_diagnostic_sim3,4,0.0,0.9181286549707602,0.9175592626629215,0.16329169273376465
breast_cancer_wisconsin_diagnostic_sim4,16,0.0,0.9239766081871345,0.9232992642351322,0.14887666702270508
breast_cancer_wisconsin_diagnostic_sim5,8,0.0,0.9532163742690059,0.9534796587428167,0.14810585975646973
breast_cancer_wisconsin_diagnostic_sim6,2,0.0,0.9122807017543859,0.9132364470014273,0.14098334312438965
breast_cancer_wisconsin_diagnostic_sim7,4,0.0,0.935672514619883,0.9350993774297272,0.2271103858947754
breast_cancer_wisconsin_diagnostic_sim8,8,0.0,0.9532163742690059,0.9533555708332272,0.15199017524719238
breast_cancer_wisconsin_diagnostic_sim9,2,0.0,0.9532163742690059,0.9528910072359551,0.2143101692199707
breast_cancer_wisconsin_diagnostic_sim10,4,0.0,0.9415204678362573,0.9416944635415341,0.1833500862121582
bupa_sim1,2,0.0,0.6153846153846154,0.6151000313042487,0.04879927635192871
bupa_sim2,2,0.0,0.625,0.6228057954862078,0.09697461128234863
bupa_sim3,2,0.0,0.6153846153846154,0.6145299145299146,0.06551551818847656
bupa_sim4,4,0.0,0.6634615384615384,0.6629944266892541,0.05622386932373047
bupa_sim5,4,0.0,0.6057692307692307,0.6052220426931262,0.06395626068115234
bupa_sim6,8,0.0,0.5,0.49963004069552347,0.06241488456726074
bupa_sim7,2,0.0,0.6730769230769231,0.6723504273504274,0.08376383781433105
bupa_sim8,2,0.0,0.6538461538461539,0.6483969553684695,0.06360507011413574
bupa_sim9,2,0.0,0.5480769230769231,0.5481187097691952,0.04976367950439453
bupa_sim10,2,0.0,0.5288461538461539,0.5108652466615164,0.06923890113830566
confidence_sim1,2,0.0,0.7727272727272727,0.7792207792207791,0.02056598663330078
confidence_sim2,2,0.0,0.9090909090909091,0.9030303030303031,0.019495010375976562
confidence_sim3,2,0.0,0.8181818181818182,0.8226551226551226,0.019481897354125977
confidence_sim4,4,0.0,0.8181818181818182,0.8225108225108225,0.025802135467529297
confidence_sim5,2,0.0,0.7272727272727273,0.7032828282828283,0.023223400115966797
confidence_sim6,2,0.0,0.8181818181818182,0.8129870129870128,0.020600080490112305
confidence_sim7,2,0.0,0.8181818181818182,0.7992424242424242,0.019576311111450195
confidence_sim8,2,0.0,0.8181818181818182,0.8073593073593073,0.024808168411254883
confidence_sim9,2,0.0,0.8636363636363636,0.862914862914863,0.022027969360351562
confidence_sim10,4,0.0,0.8636363636363636,0.8517316017316017,0.02454519271850586
glass2_sim1,8,0.0,0.6938775510204082,0.6938775510204082,0.03724503517150879
glass2_sim2,8,0.0,0.7346938775510204,0.7346938775510204,0.026413679122924805
glass2_sim3,8,0.0,0.673469387755102,0.6582688247712879,0.03626823425292969
glass2_sim4,4,0.0,0.7755102040816326,0.7728746844649811,0.03356671333312988
glass2_sim5,2,0.0,0.673469387755102,0.6720951006665292,0.025932788848876953
glass2_sim6,8,0.0,0.7755102040816326,0.7745736592509345,0.033956050872802734
glass2_sim7,8,0.0,0.7551020408163265,0.7521865889212829,0.03175663948059082
glass2_sim8,16,0.0,0.673469387755102,0.673469387755102,0.03832530975341797
glass2_sim9,2,0.0,0.6938775510204082,0.6933641381080734,0.028386831283569336
glass2_sim10,16,0.0,0.7142857142857143,0.7121356903965599,0.033823490142822266
haberman_sim1,16,0.0,0.6630434782608695,0.6425260847318112,0.047194480895996094
