Dataset,Number of Hyperboxes,Gamma Values,Accuracy,F1_Score,Time
appendicitis_sim1,8,0.0,0.8125,0.7972222222222223,0.01548457145690918
appendicitis_sim2,8,0.0001,0.875,0.8648148148148147,0.019191503524780273
appendicitis_sim3,4,0.0,0.90625,0.9028730703259005,0.022017240524291992
appendicitis_sim4,4,1.0,0.875,0.8648148148148147,0.01625204086303711
appendicitis_sim5,8,0.0001,0.71875,0.7268099547511312,0.02868056297302246
appendicitis_sim6,16,0.0001,0.84375,0.8482277526395174,0.026436567306518555
appendicitis_sim7,16,1.0,0.8125,0.8221428571428571,0.034516096115112305
appendicitis_sim8,8,0.0001,0.90625,0.8931818181818182,0.018872976303100586
appendicitis_sim9,16,0.0,0.9375,0.9324074074074074,0.02369379997253418
appendicitis_sim10,2,0.0001,0.90625,0.8931818181818182,0.016985416412353516
breast_cancer_wisconsin_diagnostic_sim1,8,0.0001,0.9239766081871345,0.9238541020805692,0.2682526111602783
breast_cancer_wisconsin_diagnostic_sim2,2,0.0,0.935672514619883,0.9357708424717578,0.18629026412963867
breast_cancer_wisconsin_diagnostic_sim3,2,0.0,0.9181286549707602,0.9178579163959281,0.13226628303527832
breast_cancer_wisconsin_diagnostic_sim4,16,0.0001,0.9239766081871345,0.9243066543872555,0.4006028175354004
breast_cancer_wisconsin_diagnostic_sim5,16,0.0001,0.9064327485380117,0.9067111416664545,0.45667147636413574
breast_cancer_wisconsin_diagnostic_sim6,16,0.0,0.9473684210526315,0.9471006548629639,0.17934012413024902
breast_cancer_wisconsin_diagnostic_sim7,16,0.0001,0.935672514619883,0.9355688556066355,0.3387413024902344
breast_cancer_wisconsin_diagnostic_sim8,8,0.0001,0.9707602339181286,0.9708049283962537,0.28987956047058105
breast_cancer_wisconsin_diagnostic_sim9,4,1.0,0.935672514619883,0.9353452448325115,0.21136689186096191
breast_cancer_wisconsin_diagnostic_sim10,2,0.0001,0.9473684210526315,0.9474488711132564,0.2196979522705078
bupa_sim1,4,0.0001,0.6057692307692307,0.5985107093831482,0.09831023216247559
bupa_sim2,2,1.0,0.625,0.6250346740638003,0.050052642822265625
bupa_sim3,2,0.0,0.5673076923076923,0.5615222785629518,0.07368350028991699
bupa_sim4,16,1.0,0.6057692307692307,0.603462502947039,0.12227821350097656
bupa_sim5,8,1.0,0.5192307692307693,0.5188746438746439,0.08695697784423828
bupa_sim6,16,0.0001,0.5576923076923077,0.5573646723646724,0.16706204414367676
bupa_sim7,16,1.0,0.5384615384615384,0.536406450692165,0.12075448036193848
bupa_sim8,2,0.0001,0.6346153846153846,0.631896749084249,0.07585763931274414
bupa_sim9,2,0.0,0.625,0.6159711075441413,0.06138944625854492
bupa_sim10,8,0.0,0.5961538461538461,0.5931490384615384,0.11578702926635742
confidence_sim1,2,0.0,0.7727272727272727,0.7857142857142857,0.02399444580078125
confidence_sim2,2,0.0001,0.7727272727272727,0.7750360750360751,0.022463083267211914
confidence_sim3,8,0.0,0.8181818181818182,0.8204906204906205,0.02635669708251953
confidence_sim4,8,0.0001,0.9090909090909091,0.9070707070707069,0.025658845901489258
confidence_sim5,4,1.0,0.7272727272727273,0.7178932178932178,0.0180208683013916
confidence_sim6,4,1.0,0.7272727272727273,0.7265512265512265,0.019498825073242188
confidence_sim7,16,0.0001,0.8181818181818182,0.8077922077922078,0.03417181968688965
confidence_sim8,8,0.0,0.8181818181818182,0.7987012987012986,0.02806568145751953
confidence_sim9,16,1.0,0.8181818181818182,0.8136724386724385,0.03847622871398926
confidence_sim10,2,0.0,0.7272727272727273,0.738961038961039,0.027615785598754883
glass2_sim1,2,0.0,0.6530612244897959,0.6425068071557176,0.0189054012298584
glass2_sim2,8,0.0,0.673469387755102,0.665869106263195,0.02351975440979004
glass2_sim3,16,0.0,0.5714285714285714,0.5472154963680387,0.04351353645324707
glass2_sim4,16,0.0,0.6938775510204082,0.6902836606340649,0.049571990966796875
glass2_sim5,4,0.0001,0.6122448979591837,0.6056080968972954,0.042272090911865234
glass2_sim6,4,1.0,0.5102040816326531,0.47712137486573575,0.03366661071777344
glass2_sim7,4,0.0,0.5918367346938775,0.5921768707482993,0.02802300453186035
glass2_sim8,16,0.0001,0.6122448979591837,0.5851635892452218,0.05694842338562012
glass2_sim9,16,0.0001,0.673469387755102,0.6710122175960685,0.04798007011413574
glass2_sim10,16,0.0,0.7959183673469388,0.7898445092322642,0.0440523624420166
haberman_sim1,8,0.0,0.6847826086956522,0.6776769888437076,0.04728436470031738
haberman_sim2,8,1.0,0.7717391304347826,0.7109542003191953,0.049558162689208984
haberman_sim3,16,0.0,0.7391304347826086,0.6975959079283887,0.05460715293884277
haberman_sim4,8,0.0,0.7717391304347826,0.7524852958136318,0.033669233322143555
haberman_sim5,16,0.0001,0.7608695652173914,0.7608695652173914,0.0692596435546875
haberman_sim6,16,0.0001,0.6739130434782609,0.6327849588719153,0.05588984489440918
haberman_sim7,8,0.0,0.7391304347826086,0.6876430205949656,0.03929400444030762
haberman_sim8,8,0.0,0.7391304347826086,0.7137393812106204,0.04171943664550781
haberman_sim9,2,0.0,0.6956521739130435,0.6221343873517787,0.019443035125732422
haberman_sim10,4,1.0,0.75,0.6694975230007078,0.03735923767089844
iris_sim1,16,0.0001,0.9777777777777777,0.9777530589543938,0.03567004203796387
iris_sim2,16,1.0,0.9333333333333333,0.9340254603880855,0.05054974555969238
iris_sim3,16,0.0001,0.9555555555555556,0.9555555555555556,0.032936811447143555
iris_sim4,2,0.0001,0.9555555555555556,0.9553571428571429,0.01677250862121582
iris_sim5,4,0.0001,0.9333333333333333,0.9332591768631814,0.016664981842041016
iris_sim6,8,1.0,0.9111111111111111,0.9107142857142857,0.033067941665649414
iris_sim7,4,0.0001,0.9333333333333333,0.9331896551724138,0.020857810974121094
iris_sim8,2,0.0001,0.9777777777777777,0.9777530589543938,0.01795673370361328
iris_sim9,8,0.0001,0.9555555555555556,0.9555555555555556,0.021366357803344727
iris_sim10,16,1.0,0.9333333333333333,0.9332591768631814,0.04314064979553223
lupus_sim1,16,0.0,0.7777777777777778,0.7654320987654322,0.015262126922607422
lupus_sim2,8,0.0001,0.8518518518518519,0.8518518518518519,0.023493289947509766
lupus_sim3,2,0.0,0.5555555555555556,0.5592592592592592,0.010394096374511719
lupus_sim4,2,0.0,0.8148148148148148,0.8000942118589178,0.013224124908447266
lupus_sim5,8,1.0,0.8148148148148148,0.8158537218845775,0.013692378997802734
lupus_sim6,4,1.0,0.7407407407407407,0.7428863346104725,0.013135671615600586
lupus_sim7,16,0.0001,0.7037037037037037,0.6872427983539096,0.02177262306213379
lupus_sim8,4,0.0,0.8148148148148148,0.8132114798781466,0.01260828971862793
lupus_sim9,8,1.0,0.7407407407407407,0.7313840155945419,0.017237424850463867
lupus_sim10,8,1.0,0.7777777777777778,0.7654320987654322,0.017580032348632812
new_thyroid_sim1,2,0.0,0.9230769230769231,0.9247563848356976,0.033393144607543945
new_thyroid_sim2,8,0.0001,0.9230769230769231,0.9231332769794308,0.03836822509765625
new_thyroid_sim3,16,0.0001,0.9384615384615385,0.9375919732441472,0.05855751037597656
new_thyroid_sim4,8,0.0001,0.8769230769230769,0.8740901042691325,0.03533005714416504
new_thyroid_sim5,4,0.0001,0.9076923076923077,0.9008650923544541,0.028107166290283203
new_thyroid_sim6,8,0.0,0.8923076923076924,0.8869466275039031,0.030809402465820312
new_thyroid_sim7,8,0.0001,0.9538461538461539,0.9527422803440904,0.034423828125
new_thyroid_sim8,8,0.0001,0.9384615384615385,0.9384615384615385,0.031786441802978516
new_thyroid_sim9,2,0.0001,0.9076923076923077,0.9073452862926548,0.038051605224609375
new_thyroid_sim10,2,0.0001,0.9538461538461539,0.9529661431685723,0.03129005432128906
sonar_sim1,4,1.0,0.7142857142857143,0.7116402116402115,0.46225857734680176
sonar_sim2,4,0.0001,0.5873015873015873,0.5644237405106971,0.18009448051452637
sonar_sim3,16,1.0,0.6349206349206349,0.6326768692965876,0.45043206214904785
sonar_sim4,2,1.0,0.6984126984126984,0.6988690726395645,0.5207912921905518
sonar_sim5,16,1.0,0.6507936507936508,0.6368030118030117,0.4483933448791504
sonar_sim6,8,1.0,0.7301587301587301,0.7304317797614028,0.3445320129394531
sonar_sim7,2,1.0,0.5873015873015873,0.5802230802230802,0.44675683975219727
sonar_sim8,16,1.0,0.5873015873015873,0.587926887926888,0.5396780967712402
sonar_sim9,4,0.0,0.6507936507936508,0.6495464852607709,0.08372092247009277
sonar_sim10,4,1.0,0.6666666666666666,0.6661581489956776,0.39261960983276367
spectf_sim1,16,0.0001,0.8761904761904762,0.8704191110406427,0.3642466068267822
spectf_sim2,8,0.0001,0.8666666666666667,0.8541534110993284,0.30788636207580566
spectf_sim3,16,0.0001,0.8761904761904762,0.8631842231842232,0.3126108646392822
spectf_sim4,4,0.01,0.8857142857142857,0.8812908610376965,0.3274812698364258
spectf_sim5,4,0.0,0.8857142857142857,0.8844155844155845,0.1480388641357422
spectf_sim6,16,0.0001,0.8285714285714286,0.8040816326530612,0.3238396644592285
spectf_sim7,2,0.0001,0.8,0.778989898989899,0.1889801025390625
spectf_sim8,16,0.0001,0.8285714285714286,0.808527616961352,0.4159421920776367
spectf_sim9,16,0.0,0.8380952380952381,0.8277517218067352,0.13473296165466309
spectf_sim10,16,0.0,0.8761904761904762,0.8631842231842232,0.1084587574005127
vehicle_sim1,16,0.0,0.531496062992126,0.5266176438688966,0.6264066696166992
vehicle_sim2,16,0.0001,0.5826771653543307,0.5740964839072535,0.8465836048126221
vehicle_sim3,8,1.0,0.6023622047244095,0.5921450330175292,0.6446871757507324
vehicle_sim4,8,1.0,0.65748031496063,0.6496731973482807,0.5629956722259521
vehicle_sim5,8,0.01,0.5984251968503937,0.5831543598988617,0.6270220279693604
vehicle_sim6,2,0.0,0.5905511811023622,0.5963749399962115,0.38515138626098633
vehicle_sim7,2,0.0,0.5826771653543307,0.5930729199922993,0.5042953491210938
vehicle_sim8,8,0.0001,0.594488188976378,0.5945455095464974,0.5257518291473389
vehicle_sim9,2,1.0,0.5511811023622047,0.555625565458277,0.5804126262664795
vehicle_sim10,2,1.0,0.5433070866141733,0.5382371254718095,0.5222697257995605
wine_recognition_sim1,2,0.0001,0.9259259259259259,0.9254309609148318,0.035250186920166016
wine_recognition_sim2,2,0.0001,0.9444444444444444,0.9442967884828349,0.027410507202148438
wine_recognition_sim3,8,0.0001,0.9444444444444444,0.94371534996535,0.033949851989746094
wine_recognition_sim4,8,0.0001,0.8703703703703703,0.8705549403223821,0.03516244888305664
wine_recognition_sim5,4,0.0001,0.9814814814814815,0.981554331672349,0.029158592224121094
wine_recognition_sim6,4,0.0,0.9444444444444444,0.9446597948122338,0.023077011108398438
wine_recognition_sim7,8,0.0,0.9444444444444444,0.9440171879196271,0.025112390518188477
wine_recognition_sim8,2,0.0,0.9629629629629629,0.9629970984809694,0.025092124938964844
wine_recognition_sim9,4,0.0,0.9444444444444444,0.9442998004403061,0.025644779205322266
wine_recognition_sim10,2,0.0,0.9444444444444444,0.9440656234519336,0.025154829025268555
