Dataset,Number of Hyperboxes,Gamma Values,Accuracy,F1_Score,Time
appendicitis_sim1,8,0.0,0.8125,0.7972222222222223,0.015222787857055664
appendicitis_sim2,8,0.0,0.875,0.8648148148148147,0.017185211181640625
appendicitis_sim3,4,0.0,0.90625,0.9028730703259005,0.021870851516723633
appendicitis_sim4,2,0.0,0.84375,0.8381217838765009,0.018506288528442383
appendicitis_sim5,2,0.0,0.90625,0.9127551020408163,0.01537013053894043
appendicitis_sim6,8,0.0,0.84375,0.8482277526395174,0.02137899398803711
appendicitis_sim7,2,0.0,0.84375,0.8584167709637046,0.015307426452636719
appendicitis_sim8,16,0.0,0.90625,0.9028730703259005,0.021198511123657227
appendicitis_sim9,16,0.0,0.9375,0.9324074074074074,0.023669004440307617
appendicitis_sim10,16,0.0,0.875,0.8482142857142857,0.02130436897277832
breast_cancer_wisconsin_diagnostic_sim1,2,0.0,0.9415204678362573,0.9413270831399486,0.19640421867370605
breast_cancer_wisconsin_diagnostic_sim2,2,0.0,0.935672514619883,0.9357708424717578,0.17143845558166504
breast_cancer_wisconsin_diagnostic_sim3,2,0.0,0.9181286549707602,0.9178579163959281,0.12346744537353516
breast_cancer_wisconsin_diagnostic_sim4,16,0.0,0.9298245614035088,0.9303835075633976,0.17431259155273438
breast_cancer_wisconsin_diagnostic_sim5,16,0.0,0.9064327485380117,0.9067111416664545,0.14653348922729492
breast_cancer_wisconsin_diagnostic_sim6,16,0.0,0.9473684210526315,0.9471006548629639,0.17090821266174316
breast_cancer_wisconsin_diagnostic_sim7,16,0.0,0.9415204678362573,0.9413270831399486,0.18820977210998535
breast_cancer_wisconsin_diagnostic_sim8,8,0.0,0.9707602339181286,0.9708049283962537,0.16283965110778809
breast_cancer_wisconsin_diagnostic_sim9,2,0.0,0.9415204678362573,0.9416944635415341,0.18076300621032715
breast_cancer_wisconsin_diagnostic_sim10,8,0.0,0.9649122807017544,0.9650166781249204,0.18462276458740234
bupa_sim1,4,0.0,0.6153846153846154,0.6145283288140431,0.0818781852722168
bupa_sim2,2,0.0,0.5673076923076923,0.5673477008428465,0.0599827766418457
bupa_sim3,2,0.0,0.5673076923076923,0.5615222785629518,0.07339954376220703
bupa_sim4,8,0.0,0.5865384615384616,0.5851944331325775,0.10449075698852539
bupa_sim5,8,0.0,0.6442307692307693,0.6437369653572115,0.09858202934265137
bupa_sim6,4,0.0,0.5769230769230769,0.5750392464678178,0.07224154472351074
bupa_sim7,2,0.0,0.6346153846153846,0.6338034188034188,0.05337834358215332
bupa_sim8,8,0.0,0.5769230769230769,0.5769230769230769,0.06793332099914551
bupa_sim9,2,0.0,0.625,0.6159711075441413,0.06226992607116699
bupa_sim10,8,0.0,0.5961538461538461,0.5931490384615384,0.11147141456604004
confidence_sim1,2,0.0,0.7727272727272727,0.7857142857142857,0.023570537567138672
confidence_sim2,16,0.0,0.8636363636363636,0.8413223140495867,0.028110504150390625
confidence_sim3,8,0.0,0.8181818181818182,0.8204906204906205,0.026404380798339844
