Dataset,Number of Hyperboxes,Gamma Values,Accuracy,F1_Score,Time
appendicitis_sim1,[16 11],N/A,0.75,0.7296296296296296,0.0009045600891113281
appendicitis_sim2,[22  4],N/A,0.8125,0.728448275862069,0.0008707046508789062
appendicitis_sim3,[21  6],N/A,0.9375,0.9324074074074074,0.0008802413940429688
appendicitis_sim4,[15 10],N/A,0.875,0.8482142857142857,0.0008842945098876953
appendicitis_sim5,[17  9],N/A,0.8125,0.7723214285714286,0.0008862018585205078
appendicitis_sim6,[15 10],N/A,0.9375,0.9324074074074074,0.0008788108825683594
appendicitis_sim7,[16 10],N/A,0.84375,0.8482277526395174,0.0008740425109863281
appendicitis_sim8,[15 11],N/A,0.90625,0.8931818181818182,0.0008797645568847656
appendicitis_sim9,[23 17],N/A,0.90625,0.9028730703259005,0.001054525375366211
appendicitis_sim10,[17  9],N/A,0.875,0.8482142857142857,0.0008707046508789062
breast_cancer_wisconsin_diagnostic_sim1,[76 45],N/A,0.935672514619883,0.9353452448325115,0.0023407936096191406
breast_cancer_wisconsin_diagnostic_sim2,[84 96],N/A,0.9298245614035088,0.9295924997679385,0.002894878387451172
breast_cancer_wisconsin_diagnostic_sim3,[84 36],N/A,0.9005847953216374,0.899699037845942,0.0022683143615722656
breast_cancer_wisconsin_diagnostic_sim4,[68 52],N/A,0.9415204678362573,0.9406248353616775,0.0023317337036132812
breast_cancer_wisconsin_diagnostic_sim5,[103  77],N/A,0.9532163742690059,0.9532163742690059,0.0028896331787109375
breast_cancer_wisconsin_diagnostic_sim6,[80 40],N/A,0.935672514619883,0.9350993774297272,0.0022478103637695312
breast_cancer_wisconsin_diagnostic_sim7,[72 49],N/A,0.9473684210526315,0.9464402234814152,0.002239227294921875
breast_cancer_wisconsin_diagnostic_sim8,[104  76],N/A,0.9473684210526315,0.9466795518019835,0.002953052520751953
breast_cancer_wisconsin_diagnostic_sim9,[102  78],N/A,0.9239766081871345,0.9235898348020589,0.0028989315032958984
breast_cancer_wisconsin_diagnostic_sim10,[90 90],N/A,0.9707602339181286,0.9707131161848344,0.002956867218017578
bupa_sim1,[24 26],N/A,0.5384615384615384,0.5364010989010989,0.0018143653869628906
bupa_sim2,[21 27],N/A,0.5384615384615384,0.5225097483162,0.0016586780548095703
bupa_sim3,[28 26],N/A,0.5288461538461539,0.5273179929143232,0.001832723617553711
bupa_sim4,[21 30],N/A,0.5673076923076923,0.5671876667022299,0.0018019676208496094
bupa_sim5,[20 24],N/A,0.625,0.6244787322768974,0.001760244369506836
bupa_sim6,[28 27],N/A,0.5192307692307693,0.5192307692307693,0.0018436908721923828
bupa_sim7,[24 26],N/A,0.5865384615384616,0.5810101772934873,0.0017979145050048828
bupa_sim8,[28 23],N/A,0.5673076923076923,0.5647759178687013,0.0017943382263183594
bupa_sim9,[19 25],N/A,0.625,0.6248959778085992,0.0016667842864990234
bupa_sim10,[22 26],N/A,0.5576923076923077,0.5573646723646724,0.0016808509826660156
confidence_sim1,[3 4 2 1 6 1],N/A,0.8181818181818182,0.8225108225108225,0.0009834766387939453
confidence_sim2,[2 4 4 2 1 1],N/A,0.8181818181818182,0.7888888888888889,0.0009458065032958984
confidence_sim3,[1 1 2 2 2 1],N/A,0.8181818181818182,0.8174603174603174,0.0008473396301269531
confidence_sim4,[3 2 2 1 4 1],N/A,0.8636363636363636,0.8636363636363636,0.0009007453918457031
confidence_sim5,[1 1 1 2 2 1],N/A,0.7727272727272727,0.7655122655122656,0.0008311271667480469
confidence_sim6,[2 1 4 2 2 1],N/A,0.8181818181818182,0.808080808080808,0.0009124279022216797
confidence_sim7,[1 1 2 1 2 1],N/A,0.7272727272727273,0.72005772005772,0.0007989406585693359
confidence_sim8,[1 4 2 2 2 1],N/A,0.8636363636363636,0.8542568542568542,0.001195669174194336
confidence_sim9,[2 1 2 2 4 1],N/A,0.8636363636363636,0.8591269841269842,0.0008971691131591797
confidence_sim10,[4 3 4 2 4 1],N/A,0.9545454545454546,0.9538239538239538,0.0009872913360595703
glass2_sim1,[ 4 12],N/A,0.5510204081632653,0.5206945936269244,0.0018537044525146484
glass2_sim2,[18 14],N/A,0.6122448979591837,0.6033912930922897,0.0009984970092773438
glass2_sim3,[15 17],N/A,0.4897959183673469,0.3725076237391508,0.000949859619140625
glass2_sim4,[10 22],N/A,0.4897959183673469,0.3969422145362719,0.0009539127349853516
glass2_sim5,[10 21],N/A,0.5714285714285714,0.4934314602104684,0.0009663105010986328
glass2_sim6,[ 9 24],N/A,0.5714285714285714,0.4934314602104684,0.0009398460388183594
glass2_sim7,[10 23],N/A,0.5918367346938775,0.5261286332714904,0.0009479522705078125
glass2_sim8,[ 7 24],N/A,0.4489795918367347,0.34869759169917364,0.0009577274322509766
glass2_sim9,[12 19],N/A,0.42857142857142855,0.3365800865800866,0.0009438991546630859
glass2_sim10,[ 4 12],N/A,0.5102040816326531,0.38425655976676387,0.0007317066192626953
haberman_sim1,[6 7],N/A,0.532608695652174,0.5556138540899042,0.0009829998016357422
haberman_sim2,[11  7],N/A,0.6195652173913043,0.6041922136408292,0.0010898113250732422
haberman_sim3,[10  7],N/A,0.6086956521739131,0.6214046822742475,0.0010352134704589844
haberman_sim4,[ 6 10],N/A,0.4673913043478261,0.4998109640831758,0.0010612010955810547
haberman_sim5,[11  7],N/A,0.5760869565217391,0.5969521002210759,0.0010647773742675781
haberman_sim6,[7 7],N/A,0.45652173913043476,0.48948458101776177,0.0009701251983642578
haberman_sim7,[12  8],N/A,0.7282608695652174,0.6558978575228515,0.0010907649993896484
haberman_sim8,[ 9 10],N/A,0.5434782608695652,0.554119793250228,0.0010650157928466797
haberman_sim9,[10  7],N/A,0.6739130434782609,0.6575102790656985,0.0010890960693359375
haberman_sim10,[10  9],N/A,0.75,0.6834260289210233,0.0010619163513183594
iris_sim1,[4 2 3],N/A,0.9555555555555556,0.9553571428571429,0.0006959438323974609
iris_sim2,[4 2 3],N/A,0.9777777777777777,0.9777530589543938,0.000705718994140625
iris_sim3,[4 1 3],N/A,0.9333333333333333,0.9332591768631814,0.0006902217864990234
iris_sim4,[4 2 3],N/A,0.9111111111111111,0.9105436081242532,0.0006988048553466797
iris_sim5,[4 2 3],N/A,0.9333333333333333,0.9326599326599326,0.0007052421569824219
iris_sim6,[4 1 3],N/A,0.9555555555555556,0.9553571428571429,0.0006937980651855469
iris_sim7,[4 1 3],N/A,0.9333333333333333,0.9331896551724138,0.0007071495056152344
iris_sim8,[4 2 3],N/A,0.9555555555555556,0.9553571428571429,0.0007090568542480469
iris_sim9,[4 1 3],N/A,0.9555555555555556,0.9546850998463902,0.0006875991821289062
iris_sim10,[4 2 3],N/A,0.9111111111111111,0.9107142857142857,0.0006966590881347656
lupus_sim1,[7 8],N/A,0.7407407407407407,0.7407407407407407,0.0008499622344970703
lupus_sim2,[11  7],N/A,0.7777777777777778,0.7796296296296297,0.0009102821350097656
lupus_sim3,[7 6],N/A,0.5925925925925926,0.5925925925925926,0.0008215904235839844
lupus_sim4,[ 6 11],N/A,0.7407407407407407,0.7313840155945419,0.0009152889251708984
lupus_sim5,[ 4 10],N/A,0.8148148148148148,0.8081314397103869,0.0008137226104736328
lupus_sim6,[ 4 10],N/A,0.8148148148148148,0.8158537218845775,0.0008249282836914062
lupus_sim7,[3 9],N/A,0.7037037037037037,0.7061728395061728,0.0008041858673095703
lupus_sim8,[6 9],N/A,0.7037037037037037,0.7061728395061728,0.0008199214935302734
lupus_sim9,[7 7],N/A,0.7037037037037037,0.7037037037037037,0.0008158683776855469
lupus_sim10,[ 8 10],N/A,0.7777777777777778,0.7796296296296297,0.0009047985076904297
new_thyroid_sim1,[ 8  5 10],N/A,0.9846153846153847,0.9842474267813635,0.0009307861328125
new_thyroid_sim2,[9 4 5],N/A,0.9076923076923077,0.9046551103859581,0.0008864402770996094
new_thyroid_sim3,[9 6 4],N/A,0.9384615384615385,0.9375790449959248,0.0008602142333984375
new_thyroid_sim4,[ 7 12  5],N/A,0.9230769230769231,0.9199878716601124,0.0009551048278808594
new_thyroid_sim5,[8 9 5],N/A,0.9384615384615385,0.9372073578595318,0.0009486675262451172
new_thyroid_sim6,[9 4 5],N/A,0.8461538461538461,0.8378441295546559,0.0008432865142822266
new_thyroid_sim7,[16  9  5],N/A,0.9692307692307692,0.9692307692307692,0.0010063648223876953
new_thyroid_sim8,[16 11  8],N/A,0.9846153846153847,0.9849338124914707,0.0010836124420166016
new_thyroid_sim9,[ 7 11  4],N/A,0.9384615384615385,0.9406926406926407,0.0009205341339111328
new_thyroid_sim10,[ 9 10  7],N/A,0.9846153846153847,0.9843336151028459,0.0009794235229492188
sonar_sim1,[128 100],N/A,0.6984126984126984,0.6987178714980384,0.0031349658966064453
sonar_sim2,[111 117],N/A,0.6507936507936508,0.6250483933410762,0.003119230270385742
sonar_sim3,[116 114],N/A,0.6031746031746031,0.6037750955783744,0.0031425952911376953
sonar_sim4,[101 129],N/A,0.6666666666666666,0.6646180110968843,0.0031414031982421875
sonar_sim5,[132  96],N/A,0.6984126984126984,0.6945152145462303,0.003162860870361328
sonar_sim6,[122 108],N/A,0.6825396825396826,0.6770946770946772,0.0031452178955078125
sonar_sim7,[105 122],N/A,0.7619047619047619,0.7619047619047619,0.003111600875854492
sonar_sim8,[101 127],N/A,0.7301587301587301,0.7301587301587301,0.003144502639770508
sonar_sim9,[130 100],N/A,0.6349206349206349,0.6343636869952659,0.0031304359436035156
sonar_sim10,[128 100],N/A,0.6666666666666666,0.6593464052287582,0.0031366348266601562
spectf_sim1,[ 50 114],N/A,0.7619047619047619,0.7087880613892175,0.0026891231536865234
spectf_sim2,[ 47 114],N/A,0.7904761904761904,0.7397007845283708,0.002675294876098633
spectf_sim3,[ 64 101],N/A,0.780952380952381,0.73208501647808,0.0026199817657470703
spectf_sim4,[ 39 127],N/A,0.8095238095238095,0.7704726933613104,0.002599000930786133
spectf_sim5,[ 52 109],N/A,0.780952380952381,0.73208501647808,0.002640247344970703
spectf_sim6,[ 44 116],N/A,0.7714285714285715,0.7160372194854953,0.002616405487060547
spectf_sim7,[ 59 107],N/A,0.780952380952381,0.7397639397639397,0.0025970935821533203
spectf_sim8,[67 99],N/A,0.7523809523809524,0.7016145013697034,0.002678394317626953
spectf_sim9,[ 55 109],N/A,0.7619047619047619,0.6885318071758749,0.0026493072509765625
spectf_sim10,[ 44 115],N/A,0.780952380952381,0.7233741496598638,0.0026297569274902344
vehicle_sim1,[44 52 28 19],N/A,0.6259842519685039,0.6096052152772939,0.0038056373596191406
vehicle_sim2,[32 45 26 20],N/A,0.6496062992125984,0.6445836419715724,0.0034875869750976562
vehicle_sim3,[36 47 23 18],N/A,0.6181102362204725,0.6071162087825703,0.0035009384155273438
vehicle_sim4,[24 41 24 25],N/A,0.5905511811023622,0.5713580315338522,0.003431558609008789
vehicle_sim5,[29 37 26 24],N/A,0.6496062992125984,0.6299762728349934,0.003434896469116211
